R1_BAT,133.54,-66.36,90.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,154.59,-107.95,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,80.44,-52.59,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,103.97,-68.30,180.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,56.81,-90.38,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,156.55,-107.98,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,105.43,-73.28,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,152.54,-70.40,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,154.36,-67.55,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,101.11,-78.80,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,60.36,-93.58,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,61.98,-88.43,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,36.34,-65.08,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,32.01,-93.68,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,27.38,-94.18,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,22.26,-94.40,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,61.93,-75.30,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,48.97,-3.64,180.00,BUTTON_CUSYOMV11,MYBUTTON
R_BOOT,19.66,-4.54,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,88.67,-66.17,90.00,15K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,59.71,-3.72,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,65.44,-75.30,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.32,-3.36,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SJ1,56.57,-93.73,0.00,,SJ
TP1,11.38,-39.65,0.00,TP,TP20R
TP10,24.61,-65.84,0.00,TP,TP20R
TP11,12.88,-69.06,0.00,TP,TP20R
TP12,17.01,-37.28,0.00,TP,TP20R
TP13,20.37,-37.68,0.00,TP,TP20R
TP14,152.53,-52.98,0.00,TP,TP20R
TP15,16.39,-67.98,0.00,TP,TP20R
TP16,59.78,-12.46,0.00,TP,TP20R
TP17,75.43,-81.96,0.00,TP,TP20R
TP2,12.73,-41.75,0.00,TP,TP20R
TP3,113.98,-65.45,0.00,TP,TP20R
TP4,72.78,-6.34,0.00,TP,TP20R
TP5,140.53,-54.04,0.00,TP,TP20R
TP6,7.18,-38.44,0.00,TP,TP20R
TP7,59.17,-97.84,0.00,TP,TP20R
TP8,93.07,-102.16,180.00,TP,TP20R
TP9,10.99,-36.74,0.00,TP,TP20R
U1,154.94,-101.39,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
U2,16.15,-54.56,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,120.19,-64.62,0.00,MAX17048G+T10,SON50P200X200X80-9N
U4,79.99,-61.16,270.00,DS3231SN#,SOIC127P1032X265-16N
U5,40.68,-57.56,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U6,108.21,-67.24,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
